scenario,system,samples,avg_cpu_percent,avg_memory_percent,avg_recv_mbps,avg_send_mbps
existing 1 worker,broker,7,15.142857142857142,78.17142857142856,0.011428571428571429,0.011428571428571429
existing 1 worker,worker_1,23,4.3652173913043475,12.343478260869565,0.0,0.0
new 2 worker,worker_1,216,2.5277777777777777,86.58888888888889,0.09351851851851851,0.15555555555555556
new 2 worker,worker_2,920,3.4445652173913044,86.5,0.12260869565217392,0.1982608695652174
