system,samples,avg_cpu_percent,avg_memory_percent,avg_recv_mbps,avg_send_mbps,scenario
broker,7,15.142857142857142,78.17142857142856,0.011428571428571429,0.011428571428571429,1 worker
worker_1,23,4.3652173913043475,12.343478260869565,0.0,0.0,1 worker
worker_1,12,4.5,12.358333333333334,0.0008333333333333334,0.0016666666666666668,2 workers
worker_2,11,4.536363636363636,12.418181818181818,0.0,0.0,2 workers
