system,requests,avg_total_ms,median_total_ms,p95_total_ms,avg_model_ms,avg_latency_ms,avg_scheduler_network_overhead_ms,scenario
broker,7,25.776658739362514,22.922039031982422,56.67731761932405,23.95112173897875,1.8219947814941406,0.0035422188896258983,1 worker
worker_1,23,190.29861947764522,133.25190544128418,452.26182937622065,9.832941967508066,1.1970167574675188,179.26866075266963,1 worker
worker_1,12,139.387845993042,122.63751029968262,227.53112316131586,9.661078453063965,1.4112989107767742,128.31546862920126,2 workers
worker_2,11,495.1346137306907,134.2184543609619,2169.6211099624634,14.808459715409713,1.484502445567738,478.84165156971324,2 workers
